,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,country,continent,decade
8,Aguada,398,Valid,L6,1620.0,Fell,1930.0,-31.6,-65.23333,"(-31.6, -65.23333)",Argentina,South America,1930
36,Andura,2298,Valid,H6,17900.0,Fell,1939.0,20.88333,76.86667,"(20.88333, 76.86667)",India,Asia,1930
45,Archie,2329,Valid,H6,5070.0,Fell,1932.0,38.5,-94.3,"(38.5, -94.3)",United States,North America,1930
53,Athens,4885,Valid,LL6,265.0,Fell,1933.0,34.75,-87.0,"(34.75, -87.0)",United States,North America,1930
63,Aztec,4913,Valid,L6,2830.0,Fell,1938.0,36.8,-108.0,"(36.8, -108.0)",United States,North America,1930
65,Bahjoi,4922,Valid,"Iron, IAB-sLL",10322.0,Fell,1934.0,28.48333,78.5,"(28.48333, 78.5)",India,Asia,1930
73,Banten,4938,Valid,CM2,629.0,Fell,1933.0,-6.33333,106.0,"(-6.33333, 106.0)",Indonesia,Asia,1930
92,Belville,5009,Valid,OC,,Fell,1937.0,-32.33333,-64.86667,"(-32.33333, -64.86667)",Argentina,South America,1930
96,Benld,5021,Valid,H6,1770.5,Fell,1938.0,39.08333,-89.15,"(39.08333, -89.15)",United States,North America,1930
125,Bloomington,5076,Valid,LL6,67.8,Fell,1938.0,40.48,-89.00417,"(40.48, -89.00417)",United States,North America,1930
132,Boriskino,5112,Valid,CM2,1342.0,Fell,1930.0,54.23333,52.48333,"(54.23333, 52.48333)",Russian Federation,Europe,1930
143,Brient,5140,Valid,Eucrite-pmict,219.0,Fell,1933.0,52.13333,59.31667,"(52.13333, 59.31667)",Russian Federation,Europe,1930
167,Capilla del Monte,5264,Valid,H6,750.0,Fell,1934.0,-30.88333,-64.55,"(-30.88333, -64.55)",Argentina,South America,1930
181,Chajari,5316,Valid,L5,18300.0,Fell,1933.0,-30.78333,-58.05,"(-30.78333, -58.05)",Argentina,South America,1930
196,Cherokee Springs,5340,Valid,LL6,8400.0,Fell,1933.0,35.03333,-81.88333,"(35.03333, -81.88333)",United States,North America,1930
198,Chervony Kut,5342,Valid,Eucrite-mmict,1700.0,Fell,1939.0,50.83333,34.0,"(50.83333, 34.0)",Ukraine,Europe,1930
201,Chicora,5349,Valid,LL6,303.0,Fell,1938.0,40.93333,-79.73333,"(40.93333, -79.73333)",United States,North America,1930
215,Crescent,5470,Valid,CM2,78.4,Fell,1936.0,35.95,-97.58333,"(35.95, -97.58333)",United States,North America,1930
254,Douar Mghila,7723,Valid,LL6,1161.0,Fell,1932.0,32.33333,-6.3,"(32.33333, -6.3)",Morocco,Africa,1930
257,Dresden (Ontario),7731,Valid,H6,47700.0,Fell,1939.0,42.52,-82.26,"(42.52, -82.26)",Canada,North America,1930
267,Dyarrl Island,7758,Valid,Mesosiderite-A1,188.0,Fell,1933.0,-3.0,151.0,"(-3.0, 151.0)",Papua New Guinea,Oceania,1930
271,Ekeby,7776,Valid,H4,3336.0,Fell,1939.0,56.03333,13.0,"(56.03333, 13.0)",Sweden,Europe,1930
292,Farmville,10075,Valid,H4,56000.0,Fell,1934.0,35.55,-77.53333,"(35.55, -77.53333)",United States,North America,1930
294,Fayetteville,10079,Valid,H4,2360.0,Fell,1934.0,36.05,-94.16667,"(36.05, -94.16667)",United States,North America,1930
329,Glanggang,10924,Valid,H5-6,1303.0,Fell,1939.0,-7.25,107.7,"(-7.25, 107.7)",Indonesia,Asia,1930
