,Type,group,count,max_mass_grams,percentage[%],max_mass_Kilograms,max_mass_Pounds
0,Chondrite,L6,235,303000.0,28.04,303.0,668.0
1,Chondrite,H5,152,4000000.0,18.14,4000.0,8818.49
2,Chondrite,H6,79,166000.0,9.43,166.0,365.97
3,Chondrite,L5,72,230000.0,8.59,230.0,507.06
4,Chondrite,H4,46,500000.0,5.49,500.0,1102.31
5,Chondrite,LL6,40,271000.0,4.77,271.0,597.45
6,Chondrite,OC,20,4460.0,2.39,4.46,9.83
7,Chondrite,L4,17,200000.0,2.03,200.0,440.92
8,Chondrite,LL5,16,408000.0,1.91,408.0,899.49
9,Chondrite,CM2,15,100000.0,1.79,100.0,220.46
10,Chondrite,H,12,17450.0,1.43,17.45,38.47
11,Chondrite,EL6,8,23250.0,0.95,23.25,51.26
12,Chondrite,L,7,20000.0,0.84,20.0,44.09
13,Chondrite,CV3,7,2000000.0,0.84,2000.0,4409.25
14,Chondrite,H4/5,6,70500.0,0.72,70.5,155.43
15,Chondrite,LL4,6,80000.0,0.72,80.0,176.37
16,Chondrite,L/LL6,4,220000.0,0.48,220.0,485.02
17,Chondrite,H3-5,4,17000.0,0.48,17.0,37.48
18,Chondrite,CI1,4,14000.0,0.48,14.0,30.86
19,Chondrite,C2-ung,3,10000.0,0.36,10.0,22.05
20,Chondrite,LL3.4,3,8200.0,0.36,8.2,18.08
21,Chondrite,L/LL5,3,500000.0,0.36,500.0,1102.31
22,Chondrite,EH4,3,107000.0,0.36,107.0,235.89
23,Chondrite,L3,3,5460.0,0.36,5.46,12.04
24,Chondrite,H5-6,3,10000.0,0.36,10.0,22.05
25,Chondrite,H3.8,2,45000.0,0.24,45.0,99.21
26,Chondrite,L5-6,2,300000.0,0.24,300.0,661.39
27,Chondrite,H4-6,2,3230.0,0.24,3.23,7.12
28,Chondrite,H4-5,2,6669.2,0.24,6.67,14.7
29,Chondrite,L/LL4,2,330000.0,0.24,330.0,727.53
30,Chondrite,H3/4,2,11800.0,0.24,11.8,26.01
31,Chondrite,H3,2,3640.0,0.24,3.64,8.02
32,Chondrite,L5/6,2,150000.0,0.24,150.0,330.69
33,Chondrite,EH5,2,14000.0,0.24,14.0,30.86
34,Chondrite,CK4,2,41730.0,0.24,41.73,92.0
35,Chondrite,LL3.6,2,77600.0,0.24,77.6,171.08
36,Chondrite,H3-6,2,175000.0,0.24,175.0,385.81
37,Chondrite,EH3,2,2600.0,0.24,2.6,5.73
38,Chondrite,LL3-6,2,1047.0,0.24,1.05,2.31
39,Chondrite,LL,2,665.0,0.24,0.66,1.47
40,Chondrite,L3.7,2,22700.0,0.24,22.7,50.04
41,Chondrite,LL3.15,1,1039.0,0.12,1.04,2.29
42,Chondrite,LL3.2,1,50000.0,0.12,50.0,110.23
43,Chondrite,LL3.00,1,691.0,0.12,0.69,1.52
44,Chondrite,LL3.3,1,24.3,0.12,0.02,0.05
45,Chondrite,L4-6,1,6000.0,0.12,6.0,13.23
46,Chondrite,L3.6,1,9700.0,0.12,9.7,21.38
47,Chondrite,LL3.8,1,1100.0,0.12,1.1,2.43
48,Chondrite,LL3.9,1,7500.0,0.12,7.5,16.53
49,Chondrite,LL4-6,1,2437.0,0.12,2.44,5.37
50,Chondrite,LL7,1,710.0,0.12,0.71,1.57
51,Chondrite,L3.7-6,1,6100.0,0.12,6.1,13.45
52,Chondrite,C,1,992.5,0.12,0.99,2.19
53,Chondrite,L3.4,1,1456.0,0.12,1.46,3.21
54,Chondrite,L3-6,1,1900.0,0.12,1.9,4.19
55,Chondrite,C3-ung,1,4610.0,0.12,4.61,10.16
56,Chondrite,CBa,1,100000.0,0.12,100.0,220.46
57,Chondrite,CO3.2,1,200000.0,0.12,200.0,440.92
58,Chondrite,CO3.3,1,3200.0,0.12,3.2,7.05
59,Chondrite,CO3.4,1,6000.0,0.12,6.0,13.23
60,Chondrite,CO3.5,1,51700.0,0.12,51.7,113.98
61,Chondrite,CO3.6,1,3763.0,0.12,3.76,8.3
62,Chondrite,CO3.7,1,1600.0,0.12,1.6,3.53
63,Chondrite,CR2,1,2000.0,0.12,2.0,4.41
64,Chondrite,CR2-an,1,160.0,0.12,0.16,0.35
65,Chondrite,EH3/4-an,1,28.0,0.12,0.03,0.06
66,Chondrite,EH7-an,1,4720.0,0.12,4.72,10.41
67,Chondrite,H/L3.6,1,28000.0,0.12,28.0,61.73
68,Chondrite,H/L3.9,1,7250.0,0.12,7.25,15.98
69,Chondrite,H/L4,1,478.0,0.12,0.48,1.05
70,Chondrite,H3-4,1,467.0,0.12,0.47,1.03
71,Chondrite,H3.4,1,1265.0,0.12,1.26,2.79
72,Chondrite,H3.7,1,3618.0,0.12,3.62,7.98
73,Chondrite,H4-an,1,1504.0,0.12,1.5,3.32
74,Chondrite,H5/6,1,4629.0,0.12,4.63,10.21
75,Chondrite,K3,1,350.0,0.12,0.35,0.77
76,Chondrite,L/LL6-an,1,5900.0,0.12,5.9,13.01
77,Chondrite,L3-4,1,600.0,0.12,0.6,1.32
78,Chondrite,R3.8-6,1,67.0,0.12,0.07,0.15
