,Year,Month,Group_x,count,month_no
0,1830,February,L,1,2
1,1830,May,LL,1,5
2,1831,May,L,1,5
3,1831,September,H,1,9
4,1833,November,H,1,11
5,1834,January,LL,1,1
6,1834,June,H,1,6
7,1835,August,LL,1,8
8,1836,January,L,1,1
9,1836,November,H,1,11
10,1837,August,H,1,8
11,1837,July,H,2,7
12,1838,April,H,1,4
13,1838,January,H,1,1
14,1838,July,L,1,7
15,1838,June,L,1,6
16,1838,October,CM,1,10
17,1839,February,L,1,2
18,1840,July,H,1,7
19,1840,June,LL,1,6
20,1840,May,LL,1,5
21,1841,June,L,1,6
22,1841,March,H,1,3
23,1841,November,L,1,11
24,1842,April,L,1,4
25,1842,June,L,1,6
26,1843,June,L,1,6
27,1843,November,H,1,11
28,1843,September,H,1,9
29,1844,April,H,1,4
30,1844,January,H,1,1
31,1844,October,H,1,10
32,1845,January,L,1,1
33,1846,August,H,1,8
34,1846,December,L,1,12
35,1846,May,L,1,5
36,1847,February,L,1,2
37,1848,December,L,1,12
38,1848,July,L,1,7
39,1848,May,L,1,5
40,1849,October,H,1,10
41,1850,June,H,1,6
42,1851,April,H,1,4
43,1851,November,H,1,11
44,1852,January,H,1,1
45,1852,October,L,1,10
46,1852,September,L,1,9
47,1853,February,L,1,2
48,1853,March,L,2,3
49,1854,September,L,1,9
50,1855,June,H,1,6
51,1855,June,L,1,6
52,1855,May,H/L,1,5
53,1855,May,L,1,5
54,1856,August,H,1,8
55,1856,November,H,1,11
56,1857,April,CV,1,4
57,1857,April,H,1,4
58,1857,December,H,1,12
59,1857,February,LL,1,2
60,1857,March,L,1,3
61,1857,October,H,1,10
62,1857,October,L,1,10
63,1858,December,H,1,12
64,1858,December,L,1,12
65,1858,May,L,1,5
66,1859,April,L,1,4
67,1859,August,H,1,8
68,1859,March,L,1,3
69,1859,May,L,1,5
70,1860,February,H,1,2
71,1860,July,LL,1,7
72,1860,June,L,1,6
73,1860,March,L,1,3
74,1860,May,L,1,5
75,1861,June,CV,1,6
76,1861,May,H,2,5
77,1862,November,LL,1,11
78,1862,October,H,1,10
79,1863,August,EL,1,8
80,1863,August,L,1,8
81,1863,December,L,1,12
82,1863,December,LL,1,12
83,1863,June,L,1,6
84,1863,March,H,1,3
85,1864,April,L,1,4
86,1864,June,L,1,6
87,1864,May,CI,1,5
88,1865,August,H,1,8
89,1865,August,L,1,8
90,1865,January,H,1,1
91,1865,March,H,1,3
92,1865,May,H,1,5
93,1865,September,L,1,9
