,Month,C,CI,CK,CM,CO,CR,CV,EH,EL,H,H/L,K,L,L/LL,LL,R,UNGR
0,January,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,23.0,0.0,0.0,20.0,1.0,6.0,1.0,0.0
1,February,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,28.0,0.0,4.0,0.0,0.0
2,March,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,17.0,1.0,4.0,0.0,0.0
3,April,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,22.0,0.0,0.0,25.0,0.0,5.0,0.0,1.0
4,May,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,30.0,1.0,0.0,31.0,0.0,7.0,0.0,0.0
5,June,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,22.0,0.0,1.0,31.0,2.0,6.0,0.0,0.0
6,July,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,24.0,1.0,0.0,28.0,3.0,7.0,0.0,0.0
7,August,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,24.0,0.0,0.0,24.0,1.0,7.0,0.0,0.0
8,September,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,26.0,0.0,0.0,31.0,0.0,1.0,0.0,1.0
9,October,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,15.0,0.0,9.0,0.0,0.0
10,November,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,21.0,0.0,4.0,0.0,0.0
11,December,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,24.0,0.0,6.0,0.0,0.0
