,name,Type_x,Class,(A)chondrite,Group_x,Petrologic type,Type_y,Group_y,mass (g),Year,Month,Day,Hour,Locality,Country,continent,latitude,longitude
0,Aarhus,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,720.0,1951,October,2,1813,,Denmark,Europe,56.1833,10.2333
1,Aldsworth,Stone,Ordinary,Chondrite,LL,5,Chondrite,LL5,700.0,1835,August,4,1630,Gloucestershire,England,Europe,51.7833,-1.7833
2,Alessandria,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,908.0,1860,February,2,1145,Piemonte,Italy,Europe,44.8833,8.75
3,Alexandrovsky,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,9251.0,1900,July,8,1600,Chernivhivska Provin,Ukraine,Europe,50.95,31.8167
4,Alfianello,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,228000.0,1883,February,16,1500,Lombardy,Italy,Europe,45.2667,10.15
5,Allegan,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,32000.0,1899,July,10,800,Michigan,USA,North America,42.5333,-85.8833
6,Allende,Stone,Carbonaceous,Chondrite,CV,3,Chondrite,CV3,2000000.0,1969,February,8,105,Chihuahua,Mexico,North America,26.9667,-105.3167
7,Al Rais,Stone,Carbonaceous,Chondrite,CR,2,Chondrite,CR2-an,160.0,1957,December,10,,,Saudi Arabia,Asia,24.4167,39.5167
8,Alta'ameem,Stone,Ordinary,Chondrite,LL,5,Chondrite,LL5,6000.0,1977,August,20,1030-1100,,Iraq,Asia,35.2733,44.2156
9,Acapulco,Stone,Acapulcoite,Achondrite,ACAP,,Primitive Achondrite,Acapulcoite,1914.0,1976,August,11,1100,Guerrero,Mexico,North America,16.8833,-99.9
10,Ambapur Nagla,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,6400.0,1895,May,27,100,Uttar Pradesh,India,Asia,27.6667,78.25
11,Andhara,Stone,,,,,Unclassified,Stone-uncl,2700.0,1880,December,2,1600,Bihar,India,Asia,26.5833,85.5667
12,Andover,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,3200.0,1898,August,5,730,Maine,USA,North America,44.6167,-70.75
13,Andreevka,Stone,Ordinary,Chondrite,L,3,Chondrite,L3,600.0,1969,August,7,1900,Donetsk Province,Ukraine,Europe,48.7,37.5
14,Andura,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,17900.0,1939,August,9,,Maharashtra,India,Asia,20.8833,76.8667
15,Angra dos Reis (stone),Stone,Angrite,Achondrite,ANGR,,Achondrite,Angrite,1500.0,1869,January,,500,,Brazil,South America,-22.9667,-44.3167
16,Ankober,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,6500.0,1942,July,7,1100,,Ethiopia,Africa,9.5333,39.7167
17,Anlong,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,2500.0,1971,May,2,1600,Guizhou,China,Asia,25.15,105.1833
18,Aomori,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,320.0,1984,June,30,1350,Honshu,Japan,Asia,40.8106,140.7856
19,Appley Bridge,Stone,Ordinary,Chondrite,LL,6,Chondrite,LL6,15000.0,1914,October,13,2045,Lancashire,England,Europe,53.5833,-2.7167
20,Arbol Solo,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,810.0,1954,September,11,2100,San Luis,Argentina,South America,-33.0,-66.0
21,Archie,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,5070.0,1932,August,10,1630,Missouri,USA,North America,38.5,-94.3
22,Ashdon,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,1300.0,1923,March,9,1300,Essex,England,Europe,52.05,0.3
23,Assisi,Stone,Ordinary,Chondrite,H,5,Chondrite,H5,2000.0,1886,May,24,700,Umbria,Italy,Europe,43.0333,12.55
24,Atarra,Stone,Ordinary,Chondrite,L,4,Chondrite,L4,1280.0,1920,December,23,1735,Uttar Pradesh,India,Asia,25.2542,80.625
25,Atemajac,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,94.2,1896,February,26,,Jalisco,Mexico,North America,20.0667,-103.6667
26,Athens,Stone,Ordinary,Chondrite,LL,6,Chondrite,LL6,265.0,1933,July,11,930,Alabama,USA,North America,34.75,-87.0
27,Atoka,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,1384.2,1945,September,17,,Oklahoma,USA,North America,34.3167,-96.15
28,Aubres,Stone,Aubrite,Achondrite,AUB,,Achondrite,Aubrite,800.0,1836,September,14,1500,Drome,France,Europe,44.3833,5.1667
29,Aumale,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,50000.0,1865,August,25,1100-1200,Alger,Algeria,Africa,36.1667,3.6667
30,Aumieres,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,2000.0,1842,June,3,2100,Lozere,France,Europe,44.3333,3.2333
31,Ausson,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,50000.0,1858,December,9,730,Haute Garonne,France,Europe,43.0833,0.5833
32,Adhi Kot,Stone,Enstatite,Chondrite,EH,4,Chondrite,EH4,4239.0,1919,May,1,1200,Punjab,Pakistan,Asia,32.1,71.8
33,Avce,Iron,Hexahedrite,,IIAB,H,Achondrite,"Iron, IIAB",1230.0,1908,March,31,845,,Slovenia,Europe,46.0,13.5
34,Avilez,Stone,Ordinary,Chondrite,H,,Chondrite,H,146.0,1855,June,,,Durango,Mexico,North America,25.0,-103.5
35,Awere,Stone,Ordinary,Chondrite,L,4,Chondrite,L4,134.0,1968,July,12,300,Omoro County,Uganda,Africa,2.7167,32.8333
36,Aztec,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,2830.0,1938,February,1,1700,New Mexico,USA,North America,36.8,-108.0
37,Adzhi-Bogdo (stone),Stone,Ordinary,Chondrite,LL,3-6,Chondrite,LL3-6,910.0,1949,October,30,,,Mongolia,Asia,44.8333,95.1667
38,Aguada,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,1620.0,1930,September,,,Cordoba,Argentina,South America,-31.6,-65.2333
39,Aguila Blanca,Stone,Ordinary,Chondrite,L,,Chondrite,L,1440.0,1920,January,15,2000,Cordoba,Argentina,South America,-30.8667,-64.55
40,Aioun el Atrouss,Stone,Diogenite,Achondrite,DIO,,Achondrite,Diogenite-pm,1000.0,1974,April,17,,,Mauritania,Africa,16.3981,-9.5703
41,Akaba,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,779.0,1949,September,21,,,Jordan,Asia,29.5167,35.05
42,Akbarpur,Stone,Ordinary,Chondrite,H,4,Chondrite,H4,1800.0,1838,April,18,800,Uttar Pradesh,India,Asia,29.7167,77.95
43,Akwanga,Stone,Ordinary,Chondrite,H,,Chondrite,H,3000.0,1959,July,2,,,Nigeria,Africa,8.9167,8.4333
44,Akyumak,Iron,Medium octahedrite,,IVA,Om,Achondrite,"Iron, IVA",50000.0,1981,August,2,1530-1600,East Anatolia,Turkey,Asia,39.9167,42.8167
45,Abee,Stone,Enstatite,Chondrite,EH,,Chondrite,EH4,107000.0,1952,June,9,2305,Alberta,Canada,North America,54.2153,-113.0064
46,Alberta,Stone,Ordinary,Chondrite,L,,Chondrite,L,625.0,1949,November,13,1400,,Congo,Africa,2.0,22.6667
47,Bells,Stone,Carbonaceous,Chondrite,CM,2,Chondrite,C2-ung,375.0,1961,September,9,,Texas,USA,North America,33.6,-96.4667
48,Belville,Stone,,Chondrite,,,Chondrite,OC,,1937,December,,,Cordoba,Argentina,South America,-32.3333,-64.8667
49,Benld,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,1770.5,1938,September,29,900,Illinois,USA,North America,39.0833,-89.15
50,Benoni,Stone,Ordinary,Chondrite,H,6,Chondrite,H6,3880.0,1943,July,25,1735,Transvaal,South Africa,Africa,-26.1667,28.4167
51,Benton,Stone,Ordinary,Chondrite,LL,6,Chondrite,LL6,2840.0,1949,January,16,2000,New Brunswick,Canada,North America,45.95,-67.55
52,Bahjoi,Iron,Coarse octahedrite,,IAB,Og,Primitive Achondrite,"Iron, IAB-sLL",10322.0,1934,July,23,2130,Uttar Pradesh,India,Asia,28.4833,78.5
53,Béréba,Stone,Eucrite,Achondrite,EUC,,Achondrite,Eucrite-mmict,18000.0,1924,June,27,1530,,Burkina Faso,Africa,11.65,-3.65
54,Bethlehem,Stone,Ordinary,Chondrite,H,,Chondrite,H,13.9,1859,August,11,730,New York,USA,North America,42.5333,-73.8333
55,Beuste,Stone,Ordinary,Chondrite,L,5,Chondrite,L5,2000.0,1859,May,,,Basses-Pyrénées,France,Europe,43.2167,-0.2333
56,Beyrout,Stone,Ordinary,Chondrite,L,4,Chondrite,LL3.8,1100.0,1921,December,31,1545,,Syria,Asia,33.8833,35.5
57,Bhagur,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,18.0,1877,November,27,1800,Maharashtra,India,Asia,20.8833,74.8333
58,Bherai,Stone,Ordinary,Chondrite,L,6,Chondrite,L6,100.0,1893,April,28,800,Gujarat,India,Asia,20.8333,71.4667
59,Bhola,Stone,Ordinary,Chondrite,LL,3-6,Chondrite,LL3-6,1047.0,1940,March,27,,Khulna,Bangladesh,Asia,22.6833,90.65
