,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year,month,latitude_decimal,longitude_decimal
0,2023-12-30 21:04:34,63.4S,79.9E,37.0,28.3,20.7,14.6,12.7,217000000000.0,0.6,2023,12,-63.4,79.9
1,2023-11-21 22:17:29,9.4S,17.4E,37.0,18.3,-17.9,-3.9,0.1,38000000000.0,0.13,2023,11,-9.4,17.4
2,2023-10-30 07:22:56,42.9S,44.7W,33.8,17.6,2.8,12.7,11.9,26000000000.0,0.092,2023,10,-42.9,-44.7
3,2023-10-26 08:58:25,45.9N,174.8W,44.2,30.2,15.5,24.9,-7.0,291000000000.0,0.78,2023,10,45.9,-174.8
4,2023-10-23 02:51:27,49.6S,75.4E,39.0,,,,,54000000000.0,0.18,2023,10,-49.6,75.4
5,2023-10-16 17:14:52,6.5S,65.4W,35.3,19.8,-12.2,14.9,-4.8,30000000000.0,0.1,2023,10,-6.5,-65.4
6,2023-10-14 22:55:26,8.4S,161.9W,37.0,19.3,19.3,-0.4,-1.3,54000000000.0,0.18,2023,10,-8.4,-161.9
7,2023-09-28 20:32:35,13.2N,72.4E,37.0,,,,,50000000000.0,0.16,2023,9,13.2,72.4
8,2023-09-07 15:34:46,27.0N,150.8E,,,,,,21000000000.0,0.076,2023,9,27.0,150.8
9,2023-09-03 04:28:01,43.2S,102.2E,37.0,,,,,23000000000.0,0.082,2023,9,-43.2,102.2
10,2023-08-17 05:57:38,48.6N,100.1E,35.4,16.1,6.4,-12.5,-7.8,81000000000.0,0.25,2023,8,48.6,100.1
11,2023-08-05 19:54:50,19.9N,131.7W,44.0,21.8,3.3,20.4,-6.8,1719000000000.0,3.8,2023,8,19.9,-131.7
12,2023-07-26 03:41:54,18.9N,103.4W,36.1,15.6,-9.5,12.2,1.9,151000000000.0,0.44,2023,7,18.9,-103.4
13,2023-07-07 16:15:31,14.5N,126.6W,38.3,25.7,2.6,4.1,-25.2,26000000000.0,0.092,2023,7,14.5,-126.6
14,2023-07-06 05:52:31,59.3S,145.4W,71.0,,,,,30000000000.0,0.1,2023,7,-59.3,-145.4
15,2023-06-21 19:39:13,12.4N,62.8E,40.4,16.5,7.3,-2.0,-16.4,543000000000.0,1.4,2023,6,12.4,62.8
16,2023-05-20 11:22:23,17.8S,141.9E,29.0,27.9,25.4,6.9,9.3,3584000000000.0,7.2,2023,5,-17.8,141.9
17,2023-04-26 13:14:59,47.0N,10.7W,29.6,16.2,-15.6,-3.8,-1.8,24000000000.0,0.086,2023,4,47.0,-10.7
18,2023-04-15 08:22:01,20.1S,36.0E,41.4,17.2,1.6,-14.7,8.8,3097000000000.0,6.3,2023,4,-20.1,36.0
19,2023-04-06 14:47:39,57.4N,109.9E,31.2,22.1,8.6,3.6,-20.0,72000000000.0,0.23,2023,4,57.4,109.9
20,2023-04-01 00:02:03,16.8S,76.0E,61.8,46.4,21.4,-40.6,7.1,24000000000.0,0.086,2023,4,-16.8,76.0
