,Name,_id,MetCat key,Type,Class,(A)chondrite,Group,Petrologic type,Recovered weight,Year,Month,Day,Hour,Locality,Country,Decimal latitude,Decimal longitude,Verbatim latitude,Verbatim longitude,Present in NHM collection,NHM specimen data
0,Aarhus,26475,A10,Stone,Ordinary,Chondrite,H,6,720 g,1951,October,2,1813,,Denmark,56.1833,10.2333,56° 11' N,10° 14' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA10%7CscientificName%3AAarhus
3,Aldsworth,26478,A1030,Stone,Ordinary,Chondrite,LL,5,0.7 kg,1835,August,4,1630,Gloucestershire,England,51.7833,-1.7833,51° 47' N,1° 47' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA1030%7CscientificName%3AAldsworth
4,Aleppo,26479,A1060,Stone,Ordinary,Chondrite,L,6,3.2 kg,1873,,,,,Syria,36.2333,37.1333,36° 14' N,37° 8' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA1060%7CscientificName%3AAleppo
5,Alessandria,26480,A1070,Stone,Ordinary,Chondrite,H,5,,1860,February,2,1145,Piemonte,Italy,44.8833,8.75,44° 53' N,8° 45' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA1070%7CscientificName%3AAlessandria
7,Alexandrovsky,26482,A1120,Stone,Ordinary,Chondrite,H,4,9251 g,1900,July,8,1600,Chernivhivska Provin,Ukraine,50.95,31.8167,50° 57' N,31° 49' E,,
8,Alfianello,26483,A1170,Stone,Ordinary,Chondrite,L,6,228 kg,1883,February,16,1500,Lombardy,Italy,45.2667,10.15,45° 16' N,10° 9' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA1170%7CscientificName%3AAlfianello
1810,Allegan,28285,A1299,Stone,Ordinary,Chondrite,H,5,31.7 kg,1899,July,10,800,Michigan,USA,42.5333,-85.8833,42° 32' N,85° 53' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA1299%7CscientificName%3AAllegan
1820,Allende,28295,A1330,Stone,Carbonaceous,Chondrite,CV,3,> 2 t,1969,February,8,105,Chihuahua,Mexico,26.9667,-105.3167,26° 58' N,105° 19' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA1330%7CscientificName%3AAllende
1825,Al Rais,28300,A1380,Stone,Carbonaceous,Chondrite,CR,2,160 g,1957,December,10,,,Saudi Arabia,24.4167,39.5167,24° 25' N,39° 31' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA1380%7CscientificName%3AAl%20Rais
1826,Alta'ameem,28301,A1391,Stone,Ordinary,Chondrite,LL,5,6 kg,1977,August,20,1030-1100,,Iraq,35.2733,44.2156,35° 16' 24'' N,44° 12' 56'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AA1391%7CscientificName%3AAlta%27ameem
