,Type,group,count,max_mass_grams,percentage[%],max_mass_Kilograms,max_mass_Pounds
0,Primitive Achondrite,Ureilite,5,1900.0,26.32,1.9,4.19
1,Primitive Achondrite,"Iron, IAB-sHL",3,5000.0,15.79,5.0,11.02
2,Primitive Achondrite,"Iron, IAB-ung",3,103000.0,15.79,103.0,227.08
3,Primitive Achondrite,"Iron, IAB-sLL",2,10322.0,10.53,10.32,22.76
4,Primitive Achondrite,Acapulcoite,1,1914.0,5.26,1.91,4.22
5,Primitive Achondrite,"Iron, IAB complex",1,150200.0,5.26,150.2,331.13
6,Primitive Achondrite,"Iron, IAB-MG",1,8800.0,5.26,8.8,19.4
7,Primitive Achondrite,Lodranite,1,1000.0,5.26,1.0,2.2
8,Primitive Achondrite,Ureilite-an,1,3950.0,5.26,3.95,8.71
9,Primitive Achondrite,Winonaite,1,157.0,5.26,0.16,0.35
