,Year,Month,Group_y,count,month_no
0,1843,September,Stone-uncl,1,9
1,1870,January,Iron,1,1
2,1880,August,Stone-uncl,1,8
3,1880,December,Stone-uncl,1,12
4,1880,September,Stone-uncl,1,9
5,1891,September,Stone-uncl,1,9
6,1898,October,Iron,1,10
7,1900,June,Iron,1,6
8,1903,April,Iron,1,4
9,1913,April,Iron,1,4
10,1914,July,Iron,1,7
11,1916,May,Stone-uncl,1,5
12,1923,April,Stone-uncl,1,4
13,1925,July,Stone-uncl,1,7
14,1926,April,Iron,1,4
15,1926,April,Stone-uncl,1,4
16,1928,June,Stone-uncl,1,6
17,1931,June,Stone-uncl,1,6
18,1944,June,Stone-uncl,2,6
19,1944,March,Stone-uncl,1,3
20,1945,September,Iron,1,9
21,1951,April,Unknown,1,4
22,1976,July,Stone-uncl,1,7
23,1976,March,Stone-uncl,1,3
24,1977,June,Stone-uncl,1,6
25,1993,June,Iron,1,6
