"country","country code","area(sq Km)"
"Aruba","ABW","180"
"Africa Eastern and Southern","AFE","14720957.055"
"Afghanistan","AFG","652230"
"Africa Western and Central","AFW","9045780"
"Angola","AGO","1246700"
"Albania","ALB","27400"
"Andorra","AND","470"
"Arab World","ARB","13608823"
"United Arab Emirates","ARE","71020"
"Argentina","ARG","2736690"
"Armenia","ARM","28470"
"American Samoa","ASM","200"
"Antigua and Barbuda","ATG","440"
"Australia","AUS","7682300"
"Austria","AUT","82520"
"Azerbaijan","AZE","82656"
"Burundi","BDI","25680"
"Belgium","BEL","30280"
"Benin","BEN","112760"
"Burkina Faso","BFA","273600"
"Bangladesh","BGD","130170"
"Bulgaria","BGR","108560"
"Bahrain","BHR","762"
"Bahamas, The","BHS","10010"
"Bosnia and Herzegovina","BIH","51200"
"Belarus","BLR","202902"
"Belize","BLZ","22810"
"Bermuda","BMU","54"
"Bolivia","BOL","1083300"
"Brazil","BRA","8358140"
"Barbados","BRB","430"
"Brunei Darussalam","BRN","5270"
"Bhutan","BTN","38117"
"Botswana","BWA","566730"
"Central African Republic","CAF","622980"
"Canada","CAN","8965590"
"Central Europe and the Baltics","CEB","1104143.2"
"Switzerland","CHE","39516"
"Channel Islands","CHI",
"Chile","CHL","743532"
"China","CHN","9424700.7"
"Cote d'Ivoire","CIV","318000"
"Cameroon","CMR","472710"
"Congo, Dem. Rep.","COD","2267050"
"Congo, Rep.","COG","341500"
"Colombia","COL","1109500"
"Comoros","COM","1861"
"Cabo Verde","CPV","4030"
"Costa Rica","CRI","51060"
"Caribbean small states","CSS","404850"
"Cuba","CUB","106440"
"Curacao","CUW","444"
"Cayman Islands","CYM","240"
"Cyprus","CYP","9240"
"Czechia","CZE","77230"
"Germany","DEU","348570"
"Djibouti","DJI","23180"
"Dominica","DMA","750"
"Denmark","DNK","40000"
"Dominican Republic","DOM","48310"
"Algeria","DZA","2381740"
"East Asia & Pacific (excluding high income)","EAP","16023516.118"
"Early-demographic dividend","EAR","33314070.952"
"East Asia & Pacific","EAS","24496058.818"
"Europe & Central Asia (excluding high income)","ECA","22392760"
"Europe & Central Asia","ECS","27439220.387"
"Ecuador","ECU","248360"
"Egypt, Arab Rep.","EGY","995450"
"Euro area","EMU","2679328.66"
"Eritrea","ERI","121065.103"
"Spain","ESP","500010"
"Estonia","EST","42390"
"Ethiopia","ETH","1128570.952"
"European Union","EUU","3995282.36"
"Fragile and conflict affected situations","FCS","20329327.055"
"Finland","FIN","303900"
"Fiji","FJI","18270"
"France","FRA","547557"
"Faroe Islands","FRO","1396"
"Micronesia, Fed. Sts.","FSM","700"
"Gabon","GAB","257670"
"United Kingdom","GBR","241930"
"Georgia","GEO","69490"
"Ghana","GHA","227540"
"Gibraltar","GIB","10"
"Guinea","GIN","245720"
"Gambia, The","GMB","10120"
"Guinea-Bissau","GNB","28120"
"Equatorial Guinea","GNQ","28050"
"Greece","GRC","128900"
"Grenada","GRD","340"
"Greenland","GRL","410450"
"Guatemala","GTM","107160"
"Guam","GUM","540"
"Guyana","GUY","196850"
"High income","HIC","35235269.087"
"Hong Kong SAR, China","HKG","1050"
"Honduras","HND","111890"
"Heavily indebted poor countries (HIPC)","HPC","19902537.055"
"Croatia","HRV","55964"
"Haiti","HTI","27560"
"Hungary","HUN","90530"
"IBRD only","IBD","71074800.118"
"IDA & IBRD total","IBT","95974556.173"
"IDA total","IDA","24899756.055"
"IDA blend","IDB","4379862"
"Indonesia","IDN","1877519"
"IDA only","IDX","20519894.055"
"Isle of Man","IMN","570"
"India","IND","2973190"
"Not classified","INX",
"Ireland","IRL","68890"
"Iran, Islamic Rep.","IRN","1628760"
"Iraq","IRQ","434320"
"Iceland","ISL","100250"
"Israel","ISR","21640"
"Italy","ITA","295718"
"Jamaica","JAM","10830"
"Jordan","JOR","88780"
"Japan","JPN","364500"
"Kazakhstan","KAZ","2699700"
"Kenya","KEN","569140"
"Kyrgyz Republic","KGZ","191800"
"Cambodia","KHM","176520"
